"Genome ID","Genome Name","Version","Library Version","Amikacin","Gentamicin","Tobramycin","Kanamycin","Methicillin","Penicillin","Fusidic Acid","Vancomycin","Clindamycin","Erythromycin","Mupirocin","Linezolid","Tetracycline","Trimethoprim","Daptomycin","Rifampicin","Ciprofloxacin","Moxifloxacin","Teicoplanin"
"671a021392e798647bc97184","SGH_N121_BC14_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e79866b9c9718d","SGH_N121_BC23_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7986f7cc9717a","SGH_N121_BC03_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7987ea9c9717b","SGH_N121_BC04_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e79881aec9718e","SGH_N121_BC24_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798a39ec97180","SGH_N121_BC10_genomic","v3.0.1","0.0.16","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","INDUCIBLE","RESISTANT","RESISTANT","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798b004c9718a","SGH_N121_BC20_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","INDUCIBLE","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798bc09c9717f","SGH_N121_BC09_genomic","v3.0.1","0.0.16","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND"
"671a021392e798d626c9717d","SGH_N121_BC06_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798d80ac97183","SGH_N121_BC13_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND"
"671a021392e798dbd2c9718c","SGH_N121_BC22_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","INDUCIBLE","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798df28c97182","SGH_N121_BC12_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
